IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.10.25,web01.internal.local,80,tcp,8.1,High,VendorFix,Apache HTTP Server < 2.4.58 Multiple Vulnerabilities,Outdated Apache version detected,Banner returned: Apache/2.4.52 (Ubuntu),1.3.6.1.4.1.25623.1.0.100001,CVE-2026-10001;CVE-2026-10002,task-001,Internal Web Server Assessment,2026-07-08T13:20:00Z,res-001,Possible remote code execution or denial of service,Upgrade Apache to 2.4.58+,"Ubuntu Linux, Apache 2.4.52",Version is older than secure baseline,Service banner and fingerprinting,Apache/2.4.52,,,
192.168.10.25,web01.internal.local,22,tcp,5.3,Medium,ConfigurationFix,SSH Weak Key Exchange Algorithms Supported,Weak SSH algorithms detected,diffie-hellman-group1-sha1 enabled,1.3.6.1.4.1.25623.1.0.100002,,task-001,Internal Web Server Assessment,2026-07-08T13:20:00Z,res-002,Reduced cryptographic strength,Disable weak KEX algorithms,Linux OpenSSH,Legacy algorithms remain enabled,SSH algorithm enumeration,OpenSSH_8.2p1,,,
192.168.10.25,web01.internal.local,443,tcp,5.9,Medium,ConfigurationFix,TLS Weak Cipher Suites Supported,Weak TLS cipher suites accepted,TLS_RSA_WITH_3DES_EDE_CBC_SHA accepted,1.3.6.1.4.1.25623.1.0.100003,,task-001,Internal Web Server Assessment,2026-07-08T13:20:00Z,res-003,Reduced transport confidentiality,Disable weak ciphers and enforce TLS 1.2+,Linux Nginx,Legacy TLS configuration detected,TLS handshake analysis,nginx/1.18.0,,,
192.168.10.25,web01.internal.local,8080,tcp,2.6,Low,ConfigurationFix,HTTP Server Header Disclosure,Server version disclosed in HTTP headers,Server: nginx/1.18.0,1.3.6.1.4.1.25623.1.0.100004,,task-001,Internal Web Server Assessment,2026-07-08T13:20:00Z,res-004,May help attackers fingerprint the service,Hide or sanitize version headers,"Linux Nginx",Version leakage through headers,HTTP header inspection,nginx/1.18.0,,,
192.168.10.25,web01.internal.local,443,tcp,4.3,Medium,ConfigurationFix,TLS Certificate Expires Soon,TLS certificate is close to expiration,Certificate expires within 14 days,1.3.6.1.4.1.25623.1.0.100005,,task-001,Internal Web Server Assessment,2026-07-08T13:20:00Z,res-005,Service disruption or trust warnings if certificate expires,Renew and deploy a new TLS certificate,"Linux Nginx",Certificate lifecycle issue,Certificate metadata inspection,nginx/1.18.0,,,
192.168.10.25,web01.internal.local,80,tcp,3.7,Low,ConfigurationFix,HTTP TRACE Method Enabled,The HTTP TRACE method is enabled,TRACE / responded with 200 OK,1.3.6.1.4.1.25623.1.0.100006,,task-001,Internal Web Server Assessment,2026-07-08T13:20:00Z,res-006,May assist cross-site tracing attacks in some environments,Disable the TRACE method in the web server configuration,"Ubuntu Linux, Apache 2.4.52",Unsafe HTTP method exposed,HTTP method enumeration,Apache/2.4.52,,,
192.168.10.30,db01.internal.local,3306,tcp,7.5,High,VendorFix,MySQL Server Unsupported Version,Database server appears to be running an unsupported version,Version fingerprint indicates MySQL 5.6.x,1.3.6.1.4.1.25623.1.0.100007,,task-002,Internal Database Assessment,2026-07-08T13:35:00Z,res-007,Unsupported software may contain unpatched vulnerabilities,Upgrade MySQL to a supported release,"Linux, MySQL 5.6",End-of-life database version detected,Service fingerprinting,MySQL 5.6,,,
192.168.10.30,db01.internal.local,3306,tcp,5.0,Medium,ConfigurationFix,MySQL Allows Empty Password Login,The service accepted authentication with a blank password,Anonymous or blank-password login succeeded,1.3.6.1.4.1.25623.1.0.100008,,task-002,Internal Database Assessment,2026-07-08T13:35:00Z,res-008,Unauthorized access to database contents,Disable blank passwords and remove anonymous accounts,"Linux, MySQL",Weak authentication configuration,Login check,MySQL 5.6,,,
192.168.10.40,filesrv01.internal.local,445,tcp,8.8,High,ConfigurationFix,SMB Signing Not Required,SMB signing is supported but not required,Message signing: enabled but not required,1.3.6.1.4.1.25623.1.0.100009,,task-003,Internal File Server Assessment,2026-07-08T13:50:00Z,res-009,May allow relay attacks against SMB sessions,Require SMB signing via system policy,"Windows Server",Insufficient SMB hardening,SMB protocol negotiation,Microsoft SMB,,,
192.168.10.40,filesrv01.internal.local,3389,tcp,5.6,Medium,ConfigurationFix,RDP Supports Weak Encryption,Remote Desktop service permits weaker encryption settings,Security layer does not enforce strongest available mode,1.3.6.1.4.1.25623.1.0.100010,,task-003,Internal File Server Assessment,2026-07-08T13:50:00Z,res-010,Reduced confidentiality of remote administration sessions,Enforce Network Level Authentication and strong encryption,"Windows Server",Weak RDP configuration,RDP service probe,Microsoft Terminal Services,,,
192.168.10.50,mail01.internal.local,25,tcp,4.0,Medium,ConfigurationFix,SMTP Open Relay Check,Mail server configuration may permit unauthorized relaying,Server accepted relay test pattern,1.3.6.1.4.1.25623.1.0.100011,,task-004,Internal Mail Assessment,2026-07-08T14:05:00Z,res-011,Attackers may abuse the server to send spam or phishing messages,Restrict relaying to authorized networks and users,"Linux Postfix",Improper mail relay restrictions,SMTP transaction test,Postfix,,,
